GeneID,Gene
WMT,Walmart
XOM,Exxon Mobil
AAPL,Apple
BRK.A,Berkshire Hathaway
AMZN,Amazon.com
UHG,UnitedHealth Group
MCK,McKesson
CVS,CVS Health
T,AT&T
ABC,AmerisourceBergen
CVX,Chevron
F,Ford Motor
GM,General Motors
COST,Costco Wholesale
GOOGL,Alphabet
CAH,Cardinal Health
WBA,Walgreens Boots Alliance
JPM,JPMorgan Chase
VZ,Verizon Communications
KR,Kroger
GE,General Electric
FNMA,Fannie Mae
PSX,Phillips 66
VLO,Valero Energy
BAC,Bank of America
MSFT,Microsoft
HD,Home Depot
BA,Boeing
WFC,Wells Fargo
C,Citigroup
